Rank,Track,Artist,Streams,Link,Week,Album_Name,Duration_MS,Explicit,Track_Number_on_Album,Artist_Followers,Artist_Genres
1,Starboy,The Weeknd,25734078,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-06,Starboy,230453,True,1,31348348,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2,Closer,The Chainsmokers,23519705,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-06,Closer,244960,False,1,17742887,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,21216399,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-06,Rockabye (feat. Sean Paul & Anne-Marie),251088,False,1,4296325,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']"
4,Let Me Love You,DJ Snake,19852704,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-06,Encore,205946,False,13,7312319,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,18316326,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-06,I Don’t Wanna Live Forever (Fifty Shades Darker),245200,False,1,15423979,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
6,Don't Wanna Know,Maroon 5,18064374,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-06,Don't Wanna Know,214480,False,1,30323494,"['pop', 'pop rock']"
7,Fake Love,Drake,17037036,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-06,More Life,210937,True,20,54405324,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
8,Say You Won't Let Go,James Arthur,16950854,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-06,Back from the Edge,211466,False,2,7893527,"['pop', 'post-teen pop', 'talent show', 'uk pop']"
9,24K Magic,Bruno Mars,16736035,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-06,24K Magic,225983,False,1,29942000,"['dance pop', 'pop', 'post-teen pop']"
10,I Feel It Coming,The Weeknd,16609685,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-06,Starboy,269186,False,18,31348348,"['canadian contemporary r&b', 'canadian pop', 'pop']"
11,Black Beatles,Rae Sremmurd,16130702,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-06,SremmLife 2 (Deluxe),291893,True,5,6359203,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
12,One Dance,Drake,15958402,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-06,Views,173986,False,12,54405324,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
13,Chantaje (feat. Maluma),Shakira,14458068,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-06,El Dorado,195840,False,3,21467047,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
14,Cold Water (feat. Justin Bieber & MØ),Major Lazer,14278458,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-06,Cold Water (feat. Justin Bieber & MØ),185351,False,1,6184098,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']"
15,Call On Me - Ryan Riback Extended Remix,Starley,14030444,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-06,Call On Me (Remixes),222040,False,6,132367,"['aussietronica', 'dance pop', 'pop dance', 'tropical house']"
16,In the Name of Love,Martin Garrix,13936848,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-06,The Martin Garrix Collection,195840,False,2,14595128,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
17,Bad and Boujee (feat. Lil Uzi Vert),Migos,13030993,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-06,Culture,343150,True,4,11354618,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
18,Side To Side,Ariana Grande,12802756,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-06,Dangerous Woman,226160,True,5,61390454,"['pop', 'post-teen pop']"
