,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_date_initial,hit
0,4Ct6IDD75BYCU4YBkV6Qzr,Bál,6,291503,0,['Vinir vors & blóma'],['2u1SdsNqbQ7mcNZFeILSF9'],1994-01-01,0.691,0.8140000000000001,5,-8.932,1,0.0276,0.0132,0.000361,0.0382,0.743,130.165,4,1994,0
1,543vaj9R9ZM0zPwgY3QiaY,Movimento Dos Barcos,39,165386,0,['Jards Macalé'],['11dkvirvWFnfNUsaGVvObg'],1972-03-01,0.517,0.0792,6,-18.272000000000002,1,0.0442,0.9840000000000001,0.0282,0.109,0.23399999999999999,91.713,4,1972,0
2,7mB7LsMux4KkPFBv4PCXUN,Kapitel 22 - Der Liebesbrief (Folge 012),36,90015,0,['Bibi und Tina'],['2x8vG4f0HYXzMEo3xNsoiI'],1992-01-01,0.7,0.45299999999999996,2,-19.097,1,0.938,0.465,0.0,0.684,0.397,133.688,3,1992,0
3,5M0OVZsHWvQDvfaDjIUWZI,Keď sem kosil poza humny trávu,1,71619,0,"['Cimbálová muzika brněnské mediky', 'Antonín Jančík']","['7GPDPEIXy8Y2998K2Mai5t', '0PGfS7B04Ug2AA9iN2QsQa']",1961,0.387,0.40700000000000003,7,-8.745,0,0.0375,0.9470000000000001,0.8909999999999999,0.145,0.67,100.785,4,1961,0
4,315mpmXBPS6GVLOgzWAELg,Semmi Gond,29,232583,0,['Bsw'],['5Zwlr28h134D0OzxzUfVCA'],2016-02-15,0.626,0.662,4,-5.681,0,0.231,0.191,0.0,0.278,0.455,99.912,4,2016,0
5,6mVD1SfTvlFAPVi7txFL5H,Machu Picchu,63,209627,0,['The Strokes'],['0epOFNiUfyON9EYx7Tpr6V'],2011-03-21,0.695,0.8170000000000001,1,-5.294,1,0.0659,0.0132,0.09699999999999999,0.0601,0.8740000000000001,105.014,4,2011,1
6,4a6q8CR2hzLk2plDkSxkfD,I.F.L.Y.,80,165714,1,['Bazzi'],['4GvEc3ANtPPjt1ZJllr5Zl'],2019-08-09,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.5539999999999999,104.954,4,2019,1
7,0fCwrjKfWxF3xQhZrYUw4T,Blood On My Jeans,77,154767,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],2020-07-10,0.868,0.55,6,-6.417000000000001,1,0.226,0.183,0.0,0.109,0.46399999999999997,117.943,4,2020,1
8,4hv2Pkp66pnIrUBuS95Snw,California,45,571080,0,['John Mayall'],['5s4z3mRAE7nxE3jjft8J3h'],1969,0.47700000000000004,0.321,0,-17.534000000000002,1,0.0351,0.75,0.757,0.695,0.6629999999999999,106.463,4,1969,1
9,4EGyc152dlYpuQZ47cRC8j,Beautiful,52,186907,0,['Carole King'],['319yZVtYM9MBGqmSQnMyY6'],1971,0.66,0.341,8,-11.175,1,0.0284,0.843,1.3300000000000001e-05,0.109,0.49700000000000005,77.066,4,1971,1
